Ensembl.Gene.ID	Chimpanzee.Ensembl.Gene.ID	Gibbon.Ensembl.Gene.ID	Gorilla.Ensembl.Gene.ID	Marmoset.Ensembl.Gene.ID	Olive.baboon.Ensembl.Gene.ID	Orangutan.Ensembl.Gene.ID	Vervet.AGM.Ensembl.Gene.ID	Macaque.Ensembl.Gene.ID
ENSG00000003509	ENSPTRG00000011837	ENSNLEG00000016254	ENSGGOG00000011359	ENSCJAG00000003932	ENSPANG00000005245	ENSPPYG00000012490	ENSCSAG00000012196	ENSMMUG00000016434
ENSG00000003987	ENSPTRG00000020020	ENSNLEG00000002611	ENSGGOG00000010545	ENSCJAG00000011725	ENSPANG00000008479	ENSPPYG00000018387	ENSCSAG00000016770	ENSMMUG00000001878
ENSG00000003989	ENSPTRG00000020021	ENSNLEG00000002678	ENSGGOG00000014449	ENSCJAG00000011665	ENSPANG00000006555	ENSPPYG00000018389	ENSCSAG00000016760	ENSMMUG00000022303
ENSG00000004139	ENSPTRG00000008917	ENSNLEG00000002131	ENSGGOG00000011110	ENSCJAG00000012608	ENSPANG00000023516	ENSPPYG00000008093	ENSCSAG00000007321	ENSMMUG00000019150
ENSG00000004399	ENSPTRG00000015381	ENSNLEG00000005261	ENSGGOG00000000736	ENSCJAG00000005429	ENSPANG00000005560	ENSPPYG00000013413	ENSCSAG00000009144	ENSMMUG00000012737
ENSG00000004468	ENSPTRG00000015930	ENSNLEG00000016404	ENSGGOG00000006165	ENSCJAG00000012505	ENSPANG00000005673	ENSPPYG00000014618	ENSCSAG00000016422	ENSMMUG00000015298
ENSG00000004478	ENSPTRG00000004529	ENSNLEG00000002835	ENSGGOG00000010471	ENSCJAG00000018746	ENSPANG00000010527	ENSPPYG00000004149	ENSCSAG00000011298	ENSMMUG00000007405
ENSG00000004487	ENSPTRG00000000321	ENSNLEG00000008363	ENSGGOG00000003664	ENSCJAG00000005607	ENSPANG00000017802	ENSPPYG00000001747	ENSCSAG00000000919	ENSMMUG00000009773
ENSG00000004534	ENSPTRG00000014943	ENSNLEG00000006932	ENSGGOG00000014459	ENSCJAG00000004620	ENSPANG00000012436	ENSPPYG00000013855	ENSCSAG00000014417	ENSMMUG00000003494
ENSG00000004660	ENSPTRG00000008579	ENSNLEG00000017283	ENSGGOG00000003068	ENSCJAG00000011552	ENSPANG00000024365	ENSPPYG00000007824	ENSCSAG00000013497	ENSMMUG00000020251
ENSG00000004766	ENSPTRG00000019403	ENSNLEG00000015349	ENSGGOG00000022699	ENSCJAG00000013774	ENSPANG00000009009	ENSPPYG00000017814	ENSCSAG00000012652	ENSMMUG00000017311
ENSG00000004776	ENSPTRG00000010864	ENSNLEG00000011386	ENSGGOG00000016841	ENSCJAG00000010098	ENSPANG00000008104	ENSPPYG00000009881	ENSCSAG00000004342	ENSMMUG00000002389
ENSG00000004777	ENSPTRG00000010866	ENSNLEG00000011405	ENSGGOG00000016856	ENSCJAG00000010016	ENSPANG00000009588	ENSPPYG00000009883	ENSCSAG00000004336	ENSMMUG00000002394
ENSG00000004799	ENSPTRG00000019421	ENSNLEG00000015859	ENSGGOG00000002467	ENSCJAG00000013229	ENSPANG00000005011	ENSPPYG00000017799	ENSCSAG00000012972	ENSMMUG00000021389
ENSG00000004809	ENSPTRG00000018499	ENSNLEG00000012795	ENSGGOG00000001770	ENSCJAG00000005357	ENSPANG00000016951	ENSPPYG00000016922	ENSCSAG00000015502	ENSMMUG00000008187
ENSG00000004838	ENSPTRG00000014960	ENSNLEG00000006996	ENSGGOG00000007113	ENSCJAG00000005151	ENSPANG00000012439	ENSPPYG00000013843	ENSCSAG00000014199	ENSMMUG00000007006
ENSG00000004846	ENSPTRG00000018966	ENSNLEG00000016694	ENSGGOG00000008618	ENSCJAG00000001194	ENSPANG00000011492	ENSPPYG00000017748	ENSCSAG00000013593	ENSMMUG00000007821
ENSG00000004864	ENSPTRG00000019423	ENSNLEG00000015945	ENSGGOG00000005803	ENSCJAG00000000554	ENSPANG00000000583	ENSPPYG00000017797	ENSCSAG00000012995	ENSMMUG00000005250
ENSG00000004866	ENSPTRG00000019616	ENSNLEG00000011617	ENSGGOG00000014410	ENSCJAG00000004988	ENSPANG00000020407	ENSPPYG00000017934	ENSCSAG00000010897	ENSMMUG00000021722
ENSG00000004939	ENSPTRG00000009270	ENSNLEG00000005443	ENSGGOG00000010736	ENSCJAG00000010019	ENSPANG00000021325	ENSPPYG00000008336	ENSCSAG00000003533	ENSMMUG00000017100
ENSG00000004948	ENSPTRG00000019404	ENSNLEG00000015365	ENSGGOG00000011549	ENSCJAG00000013758	ENSPANG00000015889	ENSPPYG00000017813	ENSCSAG00000012713	ENSMMUG00000014319
ENSG00000004961	ENSPTRG00000021657	ENSNLEG00000008965	ENSGGOG00000007328	ENSCJAG00000001007	ENSPANG00000004637	ENSPPYG00000020120	ENSCSAG00000015264	ENSMMUG00000013993
ENSG00000004975	ENSPTRG00000008665	ENSNLEG00000008027	ENSGGOG00000006765	ENSCJAG00000016678	ENSPANG00000024210	ENSPPYG00000007899	ENSCSAG00000011919	ENSMMUG00000010542
ENSG00000005007	ENSPTRG00000010721	ENSNLEG00000006062	ENSGGOG00000002608	ENSCJAG00000019627	ENSPANG00000008847	ENSPPYG00000009752	ENSCSAG00000005276	ENSMMUG00000023286
ENSG00000005020	ENSPTRG00000019007	ENSNLEG00000014950	ENSGGOG00000002146	ENSCJAG00000007979	ENSPANG00000006185	ENSPPYG00000017710	ENSCSAG00000014230	ENSMMUG00000018544
ENSG00000005073	ENSPTRG00000019020	ENSNLEG00000014994	ENSGGOG00000002226	ENSCJAG00000008187	ENSPANG00000026298	ENSPPYG00000017698	ENSCSAG00000014310	ENSMMUG00000013462
ENSG00000005102	ENSPTRG00000009248	ENSNLEG00000005724	ENSGGOG00000003046	ENSCJAG00000010614	ENSPANG00000021370	ENSPPYG00000008355	ENSCSAG00000003450	ENSMMUG00000008995
ENSG00000005108	ENSPTRG00000018936	ENSNLEG00000016197	ENSGGOG00000008011	ENSCJAG00000000774	ENSPANG00000006922	ENSPPYG00000017778	ENSCSAG00000013288	ENSMMUG00000012694
ENSG00000005156	ENSPTRG00000009008	ENSNLEG00000001704	ENSGGOG00000025637	ENSCJAG00000014668	ENSPANG00000022999	ENSPPYG00000008176	ENSCSAG00000006328	ENSMMUG00000004794
ENSG00000005175	ENSPTRG00000004861	ENSNLEG00000017909	ENSGGOG00000024558	ENSCJAG00000034484	ENSPANG00000004603	ENSPPYG00000004441	ENSCSAG00000006707	ENSMMUG00000007482
ENSG00000005187	ENSPTRG00000007849	ENSNLEG00000012361	ENSGGOG00000008138	ENSCJAG00000035643	ENSPANG00000018205	ENSPPYG00000007161	ENSCSAG00000007600	ENSMMUG00000016745
ENSG00000005189	ENSPTRG00000007851	ENSNLEG00000012334	ENSGGOG00000004539	ENSCJAG00000009363	ENSPANG00000006898	ENSPPYG00000007163	ENSCSAG00000007562	ENSMMUG00000016748
ENSG00000005194	ENSPTRG00000008155	ENSNLEG00000002876	ENSGGOG00000012402	ENSCJAG00000012055	ENSPANG00000000544	ENSPPYG00000007388	ENSCSAG00000004912	ENSMMUG00000020472
ENSG00000005206	ENSPTRG00000010234	ENSNLEG00000011710	ENSGGOG00000010177	ENSCJAG00000010410	ENSPANG00000019292	ENSPPYG00000009349	ENSCSAG00000011592	ENSMMUG00000000453
ENSG00000005238	ENSPTRG00000020904	ENSNLEG00000004530	ENSGGOG00000003218	ENSCJAG00000009210	ENSPANG00000025348	ENSPPYG00000019101	ENSCSAG00000010301	ENSMMUG00000011862
ENSG00000005243	ENSPTRG00000009346	ENSNLEG00000002409	ENSGGOG00000002264	ENSCJAG00000007567	ENSPANG00000022903	ENSPPYG00000008889	ENSCSAG00000002558	ENSMMUG00000021934
ENSG00000005249	ENSPTRG00000019574	ENSNLEG00000008800	ENSGGOG00000003923	ENSCJAG00000016244	ENSPANG00000019819	ENSPPYG00000017897	ENSCSAG00000011401	ENSMMUG00000015404
ENSG00000005302	ENSPTRG00000021662	ENSNLEG00000009057	ENSGGOG00000006582	ENSCJAG00000001061	ENSPANG00000001077	ENSPPYG00000020123	ENSCSAG00000015196	ENSMMUG00000002689
ENSG00000005339	ENSPTRG00000007710	ENSNLEG00000009748	ENSGGOG00000006025	ENSCJAG00000019712	ENSPANG00000023843	ENSPPYG00000007051	ENSCSAG00000009832	ENSMMUG00000002286
ENSG00000005379	ENSPTRG00000009450	ENSNLEG00000008657	ENSGGOG00000016714	ENSCJAG00000017335	ENSPANG00000022278	ENSPPYG00000008234	ENSCSAG00000005747	ENSMMUG00000018087
ENSG00000005381	ENSPTRG00000009449	ENSNLEG00000008150	ENSGGOG00000016705	ENSCJAG00000017310	ENSPANG00000022275	ENSPPYG00000008235	ENSCSAG00000005701	ENSMMUG00000002266
ENSG00000005421	ENSPTRG00000019417	ENSNLEG00000015705	ENSGGOG00000004746	ENSCJAG00000013355	ENSPANG00000021008	ENSPPYG00000017804	ENSCSAG00000012943	ENSMMUG00000008011
ENSG00000005436	ENSPTRG00000012110	ENSNLEG00000001166	ENSGGOG00000025320	ENSCJAG00000017096	ENSPANG00000004968	ENSPPYG00000012254	ENSCSAG00000015854	ENSMMUG00000018512
ENSG00000005448	ENSPTRG00000012085	ENSNLEG00000000619	ENSGGOG00000014586	ENSCJAG00000017568	ENSPANG00000013798	ENSPPYG00000012278	ENSCSAG00000015579	ENSMMUG00000002719
ENSG00000005469	ENSPTRG00000019367	ENSNLEG00000014961	ENSGGOG00000015962	ENSCJAG00000014683	ENSPANG00000017283	ENSPPYG00000017846	ENSCSAG00000012375	ENSMMUG00000010787
ENSG00000005483	ENSPTRG00000019563	ENSNLEG00000009027	ENSGGOG00000000579	ENSCJAG00000015976	ENSPANG00000005214	ENSPPYG00000017888	ENSCSAG00000011566	ENSMMUG00000022727
ENSG00000005486	ENSPTRG00000019312	ENSNLEG00000008559	ENSGGOG00000016935	ENSCJAG00000017031	ENSPANG00000007149	ENSPPYG00000017475	ENSCSAG00000018153	ENSMMUG00000007362
ENSG00000005700	ENSPTRG00000018375	ENSNLEG00000012470	ENSGGOG00000016682	ENSCJAG00000009418	ENSPANG00000016793	ENSPPYG00000016799	ENSCSAG00000017400	ENSMMUG00000010749
ENSG00000005810	ENSPTRG00000005943	ENSNLEG00000016250	ENSGGOG00000010778	ENSCJAG00000021196	ENSPANG00000016436	ENSPPYG00000029658	ENSCSAG00000017585	ENSMMUG00000021459
ENSG00000005812	ENSPTRG00000022568	ENSNLEG00000016246	ENSGGOG00000007005	ENSCJAG00000021193	ENSPANG00000016434	ENSPPYG00000005425	ENSCSAG00000017589	ENSMMUG00000021458
ENSG00000005844	ENSPTRG00000008004	ENSNLEG00000015846	ENSGGOG00000002189	ENSCJAG00000002628	ENSPANG00000016535	ENSPPYG00000007275	ENSCSAG00000005978	ENSMMUG00000016876
ENSG00000005882	ENSPTRG00000009388	ENSNLEG00000008902	ENSGGOG00000015583	ENSCJAG00000006896	ENSPANG00000022651	ENSPPYG00000008932	ENSCSAG00000005211	ENSMMUG00000014685
ENSG00000005884	ENSPTRG00000009387	ENSNLEG00000008858	ENSGGOG00000013558	ENSCJAG00000006922	ENSPANG00000022746	ENSPPYG00000008931	ENSCSAG00000005208	ENSMMUG00000000153
ENSG00000005961	ENSPTRG00000009277	ENSNLEG00000000152	ENSGGOG00000012852	ENSCJAG00000009821	ENSPANG00000021298	ENSPPYG00000008330	ENSCSAG00000003577	ENSMMUG00000012659
ENSG00000005981	ENSPTRG00000019420	ENSNLEG00000015854	ENSGGOG00000006509	ENSCJAG00000013280	ENSPANG00000017487	ENSPPYG00000017801	ENSCSAG00000012965	ENSMMUG00000008016
ENSG00000006007	ENSPTRG00000007833	ENSNLEG00000012560	ENSGGOG00000002481	ENSCJAG00000009810	ENSPANG00000022209	ENSPPYG00000007148	ENSCSAG00000007797	ENSMMUG00000013331
ENSG00000006015	ENSPTRG00000010715	ENSNLEG00000006073	ENSGGOG00000026716	ENSCJAG00000007459	ENSPANG00000017400	ENSPPYG00000009747	ENSCSAG00000005329	ENSMMUG00000000159
ENSG00000006025	ENSPTRG00000009336	ENSNLEG00000001657	ENSGGOG00000015344	ENSCJAG00000007585	ENSPANG00000022928	ENSPPYG00000008880	ENSCSAG00000002580	ENSMMUG00000019039
ENSG00000006042	ENSPTRG00000008993	ENSNLEG00000006038	ENSGGOG00000013333	ENSCJAG00000014550	ENSPANG00000023031	ENSPPYG00000008166	ENSCSAG00000006365	ENSMMUG00000022356
ENSG00000006062	ENSPTRG00000034405	ENSNLEG00000004986	ENSGGOG00000004540	ENSCJAG00000012775	ENSPANG00000021235	ENSPPYG00000008306	ENSCSAG00000003680	ENSMMUG00000007863
ENSG00000006071	ENSPTRG00000003403	ENSNLEG00000017729	ENSGGOG00000015972	ENSCJAG00000009368	ENSPANG00000007182	ENSPPYG00000004122	ENSCSAG00000004854	ENSMMUG00000023581
ENSG00000006116	ENSPTRG00000007896	ENSNLEG00000011909	ENSGGOG00000002778	ENSCJAG00000020656	ENSPANG00000023573	ENSPPYG00000007200	ENSCSAG00000006630	ENSMMUG00000013560
ENSG00000006118	ENSPTRG00000003726	ENSNLEG00000013672	ENSGGOG00000008661	ENSCJAG00000016603	ENSPANG00000005951	ENSPPYG00000003200	ENSCSAG00000006264	ENSMMUG00000014533
ENSG00000006125	ENSPTRG00000009021	ENSNLEG00000009256	ENSGGOG00000015593	ENSCJAG00000014853	ENSPANG00000022982	ENSPPYG00000008188	ENSCSAG00000006260	ENSMMUG00000006048
ENSG00000006128	ENSPTRG00000019428	ENSNLEG00000016015	ENSGGOG00000014091	ENSCJAG00000000604	ENSPANG00000005012	ENSPPYG00000017791	ENSCSAG00000013031	ENSMMUG00000014823
ENSG00000006194	ENSPTRG00000007692	ENSNLEG00000009603	ENSGGOG00000010468	ENSCJAG00000019612	ENSPANG00000017591	ENSPPYG00000007038	ENSCSAG00000010072	ENSMMUG00000017973
ENSG00000006210	ENSPTRG00000008153	ENSNLEG00000002854	ENSGGOG00000000578	ENSCJAG00000012081	ENSPANG00000009401	ENSPPYG00000007386	ENSCSAG00000004917	ENSMMUG00000000426
ENSG00000006282	ENSPTRG00000009404	ENSNLEG00000007743	ENSGGOG00000003379	ENSCJAG00000018727	ENSPANG00000022479	ENSPPYG00000008278	ENSCSAG00000005452	ENSMMUG00000017252
ENSG00000006377	ENSPTRG00000019425	ENSNLEG00000016008	ENSGGOG00000004398	ENSCJAG00000000588	ENSPANG00000007145	ENSPPYG00000017794	ENSCSAG00000013014	ENSMMUG00000014918
ENSG00000006451	ENSPTRG00000019108	ENSNLEG00000003055	ENSGGOG00000002908	ENSCJAG00000007630	ENSPANG00000022183	ENSPPYG00000017619	ENSCSAG00000015217	ENSMMUG00000016059
ENSG00000006453	ENSPTRG00000019438	ENSNLEG00000010653	ENSGGOG00000022920	ENSCJAG00000031937	ENSPANG00000024563	ENSPPYG00000017363	ENSCSAG00000017756	ENSMMUG00000013276
ENSG00000006459	ENSPTRG00000019762	ENSNLEG00000001833	ENSGGOG00000003842	ENSCJAG00000013403	ENSPANG00000011491	ENSPPYG00000018054	ENSCSAG00000008271	ENSMMUG00000008126
ENSG00000006555	ENSPTRG00000000777	ENSNLEG00000014562	ENSGGOG00000005432	ENSCJAG00000015639	ENSPANG00000014332	ENSPPYG00000001310	ENSCSAG00000001311	ENSMMUG00000021574
ENSG00000006576	ENSPTRG00000019340	ENSNLEG00000009575	ENSGGOG00000007313	ENSCJAG00000006202	ENSPANG00000008428	ENSPPYG00000017867	ENSCSAG00000011844	ENSMMUG00000009008
ENSG00000006607	ENSPTRG00000013123	ENSNLEG00000013956	ENSGGOG00000004259	ENSCJAG00000006087	ENSPANG00000019972	ENSPPYG00000013354	ENSCSAG00000005767	ENSMMUG00000001313
ENSG00000006611	ENSPTRG00000003404	ENSNLEG00000017735	ENSGGOG00000016001	ENSCJAG00000009310	ENSPANG00000020256	ENSPPYG00000003451	ENSCSAG00000004871	ENSMMUG00000023582
ENSG00000006625	ENSPTRG00000019041	ENSNLEG00000015148	ENSGGOG00000024930	ENSCJAG00000008589	ENSPANG00000019769	ENSPPYG00000017676	ENSCSAG00000014526	ENSMMUG00000012550
ENSG00000006634	ENSPTRG00000019372	ENSNLEG00000015022	ENSGGOG00000015538	ENSCJAG00000014413	ENSPANG00000024063	ENSPPYG00000017840	ENSCSAG00000012420	ENSMMUG00000006771
ENSG00000006638	ENSPTRG00000010270	ENSNLEG00000002715	ENSGGOG00000013761	ENSCJAG00000014921	ENSPANG00000018961	ENSPPYG00000009381	ENSCSAG00000011119	ENSMMUG00000011403
ENSG00000006695	ENSPTRG00000008790	ENSNLEG00000014632	ENSGGOG00000012308	ENSCJAG00000004522	ENSPANG00000023746	ENSPPYG00000008000	ENSCSAG00000009028	ENSMMUG00000016157
ENSG00000006712	ENSPTRG00000010964	ENSNLEG00000014430	ENSGGOG00000001843	ENSCJAG00000014124	ENSPANG00000012954	ENSPPYG00000009964	ENSCSAG00000003870	ENSMMUG00000005552
ENSG00000006715	ENSPTRG00000019104	ENSNLEG00000002939	ENSGGOG00000006665	ENSCJAG00000012686	ENSPANG00000003773	ENSPPYG00000017621	ENSCSAG00000015187	ENSMMUG00000010042
ENSG00000006740	ENSPTRG00000008787	ENSNLEG00000014592	ENSGGOG00000015831	ENSCJAG00000004605	ENSPANG00000023750	ENSPPYG00000007996	ENSCSAG00000009083	ENSMMUG00000022515
ENSG00000006744	ENSPTRG00000008788	ENSNLEG00000014599	ENSGGOG00000015850	ENSCJAG00000004542	ENSPANG00000023751	ENSPPYG00000007997	ENSCSAG00000009057	ENSMMUG00000014450
ENSG00000006747	ENSPTRG00000018941	ENSNLEG00000016265	ENSGGOG00000015597	ENSCJAG00000000815	ENSPANG00000023059	ENSPPYG00000017773	ENSCSAG00000013357	ENSMMUG00000000880
ENSG00000006757	ENSPTRG00000021641	ENSNLEG00000008610	ENSGGOG00000005430	ENSCJAG00000000270	ENSPANG00000012311	ENSPPYG00000020108	ENSCSAG00000015414	ENSMMUG00000018194
ENSG00000006831	ENSPTRG00000004520	ENSNLEG00000002657	ENSGGOG00000013929	ENSCJAG00000000683	ENSPANG00000009792	ENSPPYG00000004142	ENSCSAG00000011623	ENSMMUG00000017262
ENSG00000006837	ENSPTRG00000017239	ENSNLEG00000008065	ENSGGOG00000002228	ENSCJAG00000004765	ENSPANG00000010940	ENSPPYG00000015785	ENSCSAG00000013620	ENSMMUG00000016639
ENSG00000007038	ENSPTRG00000007666	ENSNLEG00000009457	ENSGGOG00000007663	ENSCJAG00000015323	ENSPANG00000006412	ENSPPYG00000007719	ENSCSAG00000010382	ENSMMUG00000016183
ENSG00000007047	ENSPTRG00000011145	ENSNLEG00000001909	ENSGGOG00000008801	ENSCJAG00000004385	ENSPANG00000007316	ENSPPYG00000010113	ENSCSAG00000003211	ENSMMUG00000018672
ENSG00000007062	ENSPTRG00000015932	ENSNLEG00000016422	ENSGGOG00000016139	ENSCJAG00000012523	ENSPANG00000007794	ENSPPYG00000014620	ENSCSAG00000016436	ENSMMUG00000008164
ENSG00000007080	ENSPTRG00000010688	ENSNLEG00000005911	ENSGGOG00000004373	ENSCJAG00000014020	ENSPANG00000004464	ENSPPYG00000009727	ENSCSAG00000005462	ENSMMUG00000010778
ENSG00000007168	ENSPTRG00000008551	ENSNLEG00000017217	ENSGGOG00000005305	ENSCJAG00000012325	ENSPANG00000024454	ENSPPYG00000007796	ENSCSAG00000013754	ENSMMUG00000020524
ENSG00000007171	ENSPTRG00000008903	ENSNLEG00000001492	ENSGGOG00000000820	ENSCJAG00000012477	ENSPANG00000023535	ENSPPYG00000008080	ENSCSAG00000007474	ENSMMUG00000010083
ENSG00000007202	ENSPTRG00000008926	ENSNLEG00000002633	ENSGGOG00000016662	ENSCJAG00000012898	ENSPANG00000023450	ENSPPYG00000008103	ENSCSAG00000007215	ENSMMUG00000023412
ENSG00000007237	ENSPTRG00000008763	ENSNLEG00000010113	ENSGGOG00000012941	ENSCJAG00000012759	ENSPANG00000023755	ENSPPYG00000007977	ENSCSAG00000010125	ENSMMUG00000018092
ENSG00000007264	ENSPTRG00000010278	ENSNLEG00000002816	ENSGGOG00000014700	ENSCJAG00000015004	ENSPANG00000017163	ENSPPYG00000009388	ENSCSAG00000010938	ENSMMUG00000001917
ENSG00000007312	ENSPTRG00000009531	ENSNLEG00000015121	ENSGGOG00000012519	ENSCJAG00000019471	ENSPANG00000020723	ENSPPYG00000008536	ENSCSAG00000003963	ENSMMUG00000000579
