Ensembl.Gene.ID	Ensembl.Transcript.ID	HGNC.Symbol	UniProt.SwissProt.Accession	UniProt.SwissProt.Length	PSG	PSR.total	ExAC.unique_variants.missense.background	ExAC.unique_variants.missense.observed	ExAC.unique_variants.missense.observed.per_codon	ExAC.unique_variants.synonymous.background	ExAC.unique_variants.synonymous.observed	ExAC.unique_variants.synonymous.observed.per_codon	ExAC.unique_variants.dN_dS	ExAC.allele_frequencies.total_missense.per_codon	ExAC.allele_frequencies.total_synonymous.per_codon	ExAC.allele_frequencies.total_missense_over_total_synonymous.per_codon
ENSG00000005421	ENST00000222381	PON1	P27169	355	FALSE	NA	2333	122	0.343661971830986	715	52	0.146478873239437	0.719031290184312	0.00193154649014084	8.81645070422535e-06	0.617139051881516
ENSG00000005436	ENST00000321027	GCFC2	P16383	781	FALSE	NA	5183	264	0.338028169014085	1480	107	0.137003841229193	0.704531889841159	0.00103077426504481	0.000570060137003841	0.00231521784084391
ENSG00000005448	ENST00000348227	WDR54	Q9H977	334	FALSE	NA	2150	131	0.392215568862275	747	62	0.18562874251497	0.734111027756939	5.8466002994012e-05	1.11785479041916e-05	0.015659271191215
ENSG00000005469	ENST00000419147	CROT	Q9UKG9-3	640	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.0001618570890625	1.19784109375e-05	0.0211131261884174
ENSG00000005483	ENST00000311117	KMT2E	Q8IZD2	1858	FALSE	NA	12169	569	0.306243272335845	3783	301	0.16200215285253	0.587661475198813	4.25253955866523e-05	0.000273401056512379	8.37148424268188e-05
ENSG00000005486	ENST00000006777	RHBDD2	Q6NTF9	364	FALSE	NA	2313	129	0.354395604395604	860	69	0.18956043956044	0.69512584823023	NA	NA	NA
ENSG00000005700	ENST00000306270	IBTK	Q9P2D0	1353	FALSE	NA	8947	342	0.252771618625277	2647	145	0.107169253510717	0.697805852857633	0.000173256031042129	0.000184960824833703	0.000692326270365207
ENSG00000005812	ENST00000355619	FBXL3	Q9UKT7	428	FALSE	NA	2826	66	0.154205607476636	839	57	0.133177570093458	0.343762804037695	2.75209579439252e-06	1.42396705607477e-05	0.000451564545211822
ENSG00000005844	ENST00000356798	ITGAL	P20701	1170	FALSE	NA	7694	342	0.292307692307692	2463	205	0.175213675213675	0.534053142455001	0.000331980297435897	9.33697521367521e-05	0.00303892682018397
ENSG00000005882	ENST00000503176	PDK2	Q15119	407	FALSE	NA	2711	106	0.26044226044226	827	84	0.206388206388206	0.384948446364898	NA	NA	NA
ENSG00000005884	ENST00000007722	ITGA3	P26006-1	1066	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.000161692938086304	0.000423477702626642	0.000358181622601991
ENSG00000005961	ENST00000262407	ITGA2B	P08514	1039	FALSE	NA	6711	330	0.317613089509143	2320	157	0.151106833493744	0.726632859636285	0.000377334069297401	0.000389827192492782	0.000931619009144977
ENSG00000005981	ENST00000325885	ASB4	Q9Y574	426	FALSE	NA	2832	170	0.39906103286385	831	62	0.145539906103286	0.804572170585019	3.51129647887324e-05	5.12358685446009e-06	0.0160873236494077
ENSG00000006007	ENST00000353258	GDE1	Q9NZC3	331	FALSE	NA	2213	116	0.350453172205438	662	46	0.138972809667674	0.754356667125091	1.69479123867069e-05	4.9950996978852e-05	0.00102504765315052
ENSG00000006025	ENST00000007414	OSBPL7	Q9BZF2	842	FALSE	NA	5523	268	0.318289786223278	1768	150	0.178147268408551	0.571940370571549	NA	NA	NA
ENSG00000006071	ENST00000302539	ABCC8	Q09428-2	1582	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.000468277874841972	0.00101209189127686	0.000292467231587312
ENSG00000006116	ENST00000005284	CACNG3	Q5R5X2	315	FALSE	NA	2079	61	0.193650793650794	655	69	0.219047619047619	0.278527162585134	2.35311746031746e-06	0.000128217726984127	5.82619450168756e-05
ENSG00000006118	ENST00000005286	TMEM132A	Q24JP5-2	1024	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.000810035282226563	0.0018125023046875	0.000436440868656311
ENSG00000006128	ENST00000319273	TAC1	P20366	129	FALSE	NA	854	27	0.209302325581395	248	18	0.13953488372093	0.43559718969555	NA	NA	NA
ENSG00000006194	ENST00000219069	ZNF263	O14978	683	FALSE	NA	4499	248	0.363103953147877	1366	113	0.165446559297218	0.66635850247941	0.000388929020497804	1.55462942898975e-05	0.0366288059587394
ENSG00000006282	ENST00000006658	SPATA20	Q8TB22-2	802	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.00187697294763092	0.000394898688279302	0.00592649542989865
ENSG00000006377	ENST00000518156	DLX6	P56179-3	293	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	1.12104607508532e-05	5.8037180887372e-05	0.000659249081520487
ENSG00000006451	ENST00000005257	RALA	P11233	206	FALSE	NA	1376	17	0.0825242718446602	380	22	0.106796116504854	0.213398520084567	1.04378689320388e-05	2.19903398058252e-06	0.0230416024071444
ENSG00000006453	ENST00000005260	BAIAP2L1	Q9UHR4	511	FALSE	NA	3365	197	0.385518590998043	1034	107	0.209393346379648	0.565741345072281	5.27461291585127e-05	0.00276397960469667	3.73452060247988e-05
ENSG00000006459	ENST00000397560	JHDM1D	Q6ZMT4	941	FALSE	NA	6255	218	0.231668437832094	1810	128	0.136025504782147	0.492830735411671	0.00037715395749203	0.000359432261424017	0.00111509531303062
ENSG00000006555	ENST00000371276	TTC22	Q5TAA0	569	FALSE	NA	3676	167	0.293497363796134	1269	73	0.12829525483304	0.789731989804284	NA	NA	NA
ENSG00000006607	ENST00000264042	FARP2	O94887	1054	FALSE	NA	6926	488	0.462998102466793	2172	206	0.195445920303605	0.74289927640045	0.000302042926944972	0.000329462769449715	0.000869804628795887
ENSG00000006611	ENST00000005226	USH1C	Q9Y6N9-5	899	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.000586031274749722	0.00109202450723026	0.000596937300120938
ENSG00000006625	ENST00000275428	GGCT	O75223	188	FALSE	NA	1253	52	0.276595744680851	354	25	0.132978723404255	0.587645650438947	1.31002765957447e-05	7.71151063829787e-06	0.00903614422467704
ENSG00000006634	ENST00000265728	DBF4	Q9UBU7	674	FALSE	NA	4496	194	0.287833827893175	1237	83	0.123145400593472	0.643083008189341	0.000108150268545994	1.75053456973294e-05	0.0091663621994904
ENSG00000006638	ENST00000411851	TBXA2R	P21731-2	407	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.000234526398034398	0.00318594709336609	0.000180866762477728
ENSG00000006695	ENST00000261643	COX10	Q12887	443	FALSE	NA	2860	203	0.45823927765237	984	100	0.225733634311512	0.698433566433566	0.00157772122121896	0.0026802142731377	0.00132879206250633
ENSG00000006712	ENST00000221265	PAF1	Q8N7H5	531	FALSE	NA	3604	119	0.224105461393597	970	99	0.186440677966102	0.323518200876691	NA	NA	NA
ENSG00000006715	ENST00000310301	VPS41	P49754	854	FALSE	NA	5719	247	0.289227166276347	1574	127	0.148711943793911	0.535276113741596	NA	NA	NA
ENSG00000006740	ENST00000379672	ARHGAP44	Q17R89	818	FALSE	NA	5339	192	0.234718826405868	1736	177	0.21638141809291	0.352709991396853	NA	NA	NA
ENSG00000006744	ENST00000338034	ELAC2	Q9BQ52	826	FALSE	NA	5429	319	0.386198547215496	1727	172	0.208232445520581	0.589976525721042	NA	NA	NA
ENSG00000006747	ENST00000297029	SCIN	Q9Y6U3	715	FALSE	NA	4724	249	0.348251748251748	1405	93	0.13006993006993	0.796311217939963	0.000687046422377622	0.000472027029370629	0.00203569716870375
ENSG00000006757	ENST00000381042	PNPLA4	P41247	253	FALSE	NA	1653	78	0.308300395256917	537	33	0.130434782608696	0.767860089094209	NA	NA	NA
ENSG00000006831	ENST00000357103	ADIPOR2	Q86V24	386	FALSE	NA	2566	70	0.181347150259067	768	55	0.142487046632124	0.380925387940197	2.88680362694301e-05	0.000973267178756477	7.68418583935483e-05
ENSG00000006837	ENST00000265334	CDKL3	Q8IVW4	592	FALSE	NA	3959	181	0.305743243243243	1096	59	0.0996621621621622	0.849281405593777	3.35790118243243e-05	1.35327618243243e-05	0.00419140634362983
ENSG00000007047	ENST00000262891	MARK4	Q96L34	752	FALSE	NA	4858	219	0.291223404255319	1700	147	0.195478723404255	0.521336570857244	1.3424857712766e-05	0.00135116829255319	1.32124210608436e-05
ENSG00000007168	ENST00000397195	PAFAH1B1	P43034	410	FALSE	NA	2711	54	0.131707317073171	799	55	0.134146341463415	0.289366553770833	2.15009756097561e-06	2.75809536585366e-05	0.000190136296864424
ENSG00000007171	ENST00000313735	NOS2	P35228	1153	FALSE	NA	7625	382	0.331309627059844	2354	199	0.172593235039029	0.592620808962847	NA	NA	NA
ENSG00000007202	ENST00000528896	KIAA0100	Q14667	2235	FALSE	NA	14675	657	0.293959731543624	4644	338	0.151230425055928	0.615124139390946	7.1978010738255e-05	1.43638067114094e-05	0.00224208854601414
ENSG00000007237	ENST00000432992	GAS7	O60861	476	FALSE	NA	3144	130	0.273109243697479	948	103	0.216386554621849	0.380567701771289	2.41170987394958e-05	0.000464803903361345	0.000109005482647769
ENSG00000007264	ENST00000395045	MATK	P42679-2	508	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	9.68112539370079e-05	9.32930905511811e-05	0.00204273792834765
ENSG00000007312	ENST00000392795	CD79B	P40259-3	230	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	8.66617391304348e-06	0.00259983542173913	1.44928470079954e-05
ENSG00000007341	ENST00000358039	ST7L	Q8TDW4	575	FALSE	NA	3727	192	0.333913043478261	1177	81	0.140869565217391	0.748571485357104	NA	NA	NA
ENSG00000007350	ENST00000369915	TKTL1	P51854	596	FALSE	NA	3936	209	0.350671140939597	1242	104	0.174496644295302	0.634131683864916	NA	NA	NA
ENSG00000007372	ENST00000419022	PAX6	P26367-2	436	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	2.89035321100917e-06	1.81916766055046e-05	0.000364411188024311
ENSG00000007376	ENST00000561734	RPUSD1	Q9UJJ7	312	FALSE	NA	2016	189	0.605769230769231	706	126	0.403846153846154	0.525297619047619	0.000154441788461538	4.60957948717949e-05	0.0107386310101663
ENSG00000007392	ENST00000293872	LUC7L	Q9NQ29	371	FALSE	NA	2426	125	0.336927223719677	758	61	0.164420485175202	0.640263268146987	2.18284204851752e-05	1.07090997304582e-05	0.00549408581290043
ENSG00000007516	ENST00000324385	BAIAP3	O94812	1187	FALSE	NA	7716	587	0.49452401010952	2617	325	0.27379949452401	0.612584838696814	0.000854118469250211	0.000462422803706824	0.00155606649465652
ENSG00000007541	ENST00000026218	PIGQ	Q9BRB3	760	FALSE	NA	4848	335	0.440789473684211	1769	182	0.239473684210526	0.671643228883328	NA	NA	NA
ENSG00000007545	ENST00000397412	CRAMP1L	Q96RY5	1269	FALSE	NA	8198	385	0.303388494877857	2862	265	0.208825847123719	0.507196877287143	4.93375445232466e-05	0.000737287091410559	5.27326114227762e-05
ENSG00000007908	ENST00000333360	SELE	P16581	610	FALSE	NA	4031	223	0.365573770491803	1181	89	0.145901639344262	0.734094475678659	0.000340574568852459	0.000669407654098361	0.000834049270147518
ENSG00000007923	ENST00000377577	DNAJC11	Q9NVH1	559	FALSE	NA	3654	161	0.288014311270125	1162	109	0.194991055456172	0.46971774051812	0.000604031677996422	0.00160878002146691	0.000671662719005296
ENSG00000007968	ENST00000361729	E2F2	Q14209	437	FALSE	NA	2831	141	0.322654462242563	965	103	0.235697940503432	0.466626427932083	0.00108095641647597	1.82064439359268e-05	0.135863130975325
ENSG00000008083	ENST00000341776	JARID2	Q92833	1246	FALSE	NA	8178	385	0.308988764044944	2574	271	0.217495987158908	0.447149629236571	3.07576532905297e-05	0.000876468372391653	2.81642963716602e-05
ENSG00000008118	ENST00000009105	CAMK1G	Q96NX5	476	FALSE	NA	3148	153	0.321428571428571	955	87	0.182773109243697	0.533507864873154	0.000410196779411765	0.00102182462605042	0.00084335209582056
ENSG00000008130	ENST00000378625	NADK	O95544-2	591	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.000682199788494078	0.000781939111675127	0.0014762202653622
ENSG00000008197	ENST00000008391	TFAP2D	Q7Z6R9	452	FALSE	NA	2935	150	0.331858407079646	963	82	0.18141592920354	0.600199443221008	0.000212986172566372	2.03401659292035e-05	0.0231663963817147
ENSG00000008256	ENST00000350796	CYTH3	O43739-2	399	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	9.02836090225564e-06	0.0018143665914787	1.24712784280989e-05
ENSG00000008277	ENST00000265727	ADAM22	Q9P0K1	906	FALSE	NA	5984	241	0.266004415011038	1773	111	0.122516556291391	0.643296538517127	0.000715729105960265	1.48644238410596e-05	0.0531462224248086
ENSG00000008294	ENST00000262013	SPAG9	O60271	1321	FALSE	NA	8685	315	0.238455715367146	2635	167	0.126419379258138	0.572275138841488	3.08420211960636e-05	3.68347244511734e-05	0.000633844298708109
ENSG00000008405	ENST00000008527	CRY1	Q16526	586	FALSE	NA	3855	155	0.264505119453925	1168	90	0.15358361774744	0.521804294566941	6.66269453924915e-06	0.00118922030375427	9.5607061763595e-06
ENSG00000008438	ENST00000008938	PGLYRP1	O75594	196	TRUE	2	1273	77	0.392857142857143	420	29	0.147959183673469	0.876019178156405	3.73356632653061e-05	0.000111411336734694	0.00170977284239779
ENSG00000008516	ENST00000336577	MMP25	Q9NPA2	562	FALSE	NA	3628	271	0.48220640569395	1272	132	0.234875444839858	0.719805552771374	0.000157137193950178	0.000604315275800712	0.000462678272667494
ENSG00000008869	ENST00000233099	HEATR5B	Q9P2D3	2071	FALSE	NA	13404	588	0.283920811202318	4454	339	0.16368903911154	0.576359454184856	5.62343954611299e-05	0.000773108830999517	3.51221665238117e-05
ENSG00000008952	ENST00000337002	SEC62	Q99442	399	FALSE	NA	2677	87	0.218045112781955	715	43	0.107769423558897	0.540391448254294	3.45428195488722e-05	4.16203032581454e-05	0.00208007813017758
ENSG00000008988	ENST00000519807	RPS20	P60866-2	142	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.00123688349295775	0.00115201564084507	0.00756104936831902
ENSG00000009335	ENST00000348165	UBE3C	Q15386	1083	FALSE	NA	7133	276	0.254847645429363	2178	163	0.15050784856879	0.517019744916697	NA	NA	NA
ENSG00000009694	ENST00000422452	TENM1	Q9UKZ4-2	2732	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	3.07049795021962e-05	0.000280852429721816	4.00174979506169e-05
ENSG00000009709	ENST00000375375	PAX7	P23759-1	520	TRUE	2	NA	NA	NA	NA	NA	NA	NA	1.29776115384615e-05	0.00108523813269231	2.29967456122813e-05
ENSG00000009724	ENST00000400897	MASP2	O00187	686	FALSE	NA	4494	297	0.432944606413994	1420	130	0.189504373177843	0.72188559104447	0.00127460728717201	0.00131123950291545	0.00141700132682084
ENSG00000009765	ENST00000229447	IYD	Q6PHW0-4	293	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	0.00336299941296928	2.34559829351536e-05	0.489334159556326
ENSG00000009780	ENST00000010299	FAM76A	Q8TAV0-3	341	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	4.39718299120235e-05	0.000306943856304985	0.000420108254936756
ENSG00000009830	ENST00000261534	POMT2	Q9UKY4	82	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	9.64495609756098e-05	0.000629673451219512	0.00186797483038411
ENSG00000009830	ENST00000261534	POMT2	Q9UKY4	750	FALSE	NA	4877	283	0.377333333333333	1629	123	0.164	0.768510229699385	NA	NA	NA
ENSG00000009844	ENST00000367630	VTA1	Q9NP79	307	FALSE	NA	2024	126	0.41042345276873	611	43	0.140065146579805	0.884571192205166	NA	NA	NA
ENSG00000009954	ENST00000339594	BAZ1B	Q9UIG0	1483	FALSE	NA	9844	321	0.216453135536076	2820	212	0.142953472690492	0.433757178014766	7.89432838840189e-06	0.000312034262306136	1.7059714298932e-05
ENSG00000010017	ENST00000011619	RANBP9	Q96S59	729	FALSE	NA	4748	170	0.233196159122085	1532	117	0.160493827160494	0.468825380367082	NA	NA	NA
ENSG00000010030	ENST00000340181	ETV7	Q9Y603	341	FALSE	NA	2238	137	0.401759530791789	707	79	0.231671554252199	0.547838825352654	0.00022572964516129	0.000738445410557185	0.000896428848141884
